city,total_listings,average_price,median_price,percentile_75_price,percentile_95_price
warszawa,24248,1015006,879000,1182000,1950000
krakow,10600,889213,778000,990000,1650000
wroclaw,7384,721990,675000,809000,1200000
gdansk,6255,834727,730000,975000,1564000
lodz,5312,434403,395000,519000,760000
poznan,2718,637490,599000,730000,1063000
bydgoszcz,2676,413704,376000,499000,730000
gdynia,2623,841578,690000,950000,1850000
szczecin,1951,556094,525000,650000,890000
katowice,1886,508734,467780,620000,900000
lublin,1640,562348,539000,645000,869000
czestochowa,1017,349637,320000,395000,599600
bialystok,733,489584,460000,565200,730000
radom,658,360390,340000,415000,617500
rzeszow,573,574593,550000,649000,890000
