city,total_listings,average_price,median_price,percentile_75_price,percentile_95_price
warszawa,14785,4975,4000,5700,11000
krakow,7366,3276,2999,3600,5900
wroclaw,3699,3213,2900,3500,5950
gdansk,1930,3161,2900,3500,5200
gdynia,769,3078,2700,3500,5500
szczecin,719,2575,2500,2900,3900
poznan,2217,2549,2400,2850,4290
rzeszow,310,2536,2400,2800,3800
lublin,632,2463,2400,2800,3600
katowice,1453,2328,2200,2700,4500
lodz,2647,2119,2000,2500,3400
radom,115,2037,2000,2500,3000
bialystok,223,2029,2000,2400,3000
bydgoszcz,731,2016,1900,2300,3200
czestochowa,345,1934,1900,2300,3000
