city,rooms,total_listings,average_price,median_price,percentile_75_price,percentile_95_price
warszawa,4,1332,8615,7900,10500,16000
wroclaw,6,2,7550,6600,8500,8500
krakow,6,39,7112,7400,8000,9000
wroclaw,5,53,6820,6900,7500,8500
krakow,5,57,6366,6500,6700,9500
gdansk,5,8,6125,6000,6500,7500
warszawa,3,4139,5888,5200,7000,10500
katowice,6,3,5666,5500,5999,5999
poznan,6,3,5617,5900,5950,5950
krakow,4,319,5442,5000,6500,8500
gdynia,4,40,5230,4500,7000,7500
wroclaw,4,159,5224,5000,6500,7900
poznan,5,9,5067,5500,5900,6000
gdansk,4,61,4961,4500,6200,7000
gdynia,5,6,4900,5000,5500,6600
