city,rooms,total_listings,average_price,median_price,percentile_75_price,percentile_95_price
warszawa,2,10590,825414,779000,922000,1285000
warszawa,3,8704,1092501,980000,1280000,1845000
krakow,2,4815,731290,690000,800000,1120000
krakow,3,3616,965979,870000,1100000,1650000
wroclaw,2,3298,627253,609000,689000,888000
lodz,2,2788,368361,350000,419360,565000
wroclaw,3,2724,790038,749000,869000,1250000
warszawa,4,2719,1490074,1388660,1820000,2623520
gdansk,2,2577,683746,620000,785000,1099000
gdansk,3,2351,920844,799000,1095000,1700000
lodz,3,1545,523681,493000,619000,782540
warszawa,1,1525,607696,594612,660000,799000
bydgoszcz,2,1152,337710,329000,380000,490000
poznan,2,1141,538722,530000,599000,754000
gdynia,3,1106,853011,715000,947000,1795000
